,CREATEDAT,CURRENCY,CUSTOMER,DOCNUM,DOCTYPE,EXCHRATE,GRANDTOTAL,MATERIAL,QUANTITY,SALDEPT
0,26.01.2016 19:11:12,AED,300175,50-16011232,RI,1.0,146.0,CH033010051001-00080-0050,1,25
1,26.01.2016 19:11:12,AED,300175,50-16011232,RI,1.0,0.01,CA364020020117-00001-0050,1,25
2,06.02.2016 13:33:11,AED,300183,50-16020054,RC,1.0,65.0,KA387010020201-00080-0100,1,19
3,06.02.2016 14:18:38,AED,300183,50-16020055,RC,1.0,375.0,GU022010210201-01351-0090,1,25
4,06.02.2016 14:18:38,AED,300183,50-16020055,RC,1.0,270.0,GI033010480101-00026-0075,1,25
5,06.02.2016 14:18:38,AED,300183,50-16020055,RC,1.0,45.0,OA474010270302-00111-0100,1,25
6,06.02.2016 14:18:39,AED,300183,50-16020055,RC,1.0,0.01,CA364020020106-00001-0050,1,25
7,06.02.2016 14:18:39,AED,300183,50-16020055,RC,1.0,0.01,CA364020020107-00001-0050,1,25
8,06.02.2016 14:18:39,AED,300183,50-16020055,RC,1.0,0.01,CA364020020105-00001-0050,1,25
9,06.02.2016 14:18:39,AED,300183,50-16020055,RC,1.0,80.0,JO077010120101-00080-0100,1,25
10,01.01.2016 16:31:58,AED,300175,50-16010003,RI,1.0,300.0,DG044010150101-01230-0075,1,26
11,01.01.2016 16:31:58,AED,300175,50-16010003,RI,1.0,300.0,VE044010330101-01215-0100,1,26
12,01.01.2016 16:31:58,AED,300175,50-16010003,RI,1.0,270.0,VE044010320201-00957-0090,1,26
13,01.01.2016 16:31:58,AED,300175,50-16010003,RI,1.0,300.0,RC044010140101-01088-0075,1,26
14,01.01.2016 16:31:58,AED,300175,50-16010003,RI,1.0,300.0,RC044010010201-01224-0075,1,26
15,01.01.2016 16:31:58,AED,300175,50-16010003,RI,1.0,260.0,CH044010120101-01221-0075,1,26
16,01.01.2016 16:31:58,AED,300175,50-16010003,RI,1.0,270.0,YS033010190101-00080-0100,1,26
